ATR1,ATR3,CLASS,,
-1.256932295,-7.15E-11,POSITIVE,,
0.362682756,-0.410892005,NEGATIVE,,
0.120832788,-7.15E-11,POSITIVE,,
-0.735202496,-0.975161821,NEGATIVE,,
-1.441791331,-0.684180788,POSITIVE,,
0.393208594,-0.395542845,NEGATIVE,,
-0.012629144,-0.898754044,NEGATIVE,,
0.200959621,-0.094851434,NEGATIVE,,
1.116749974,-0.224036349,NEGATIVE,,
2.768102697,0.183791886,NEGATIVE,,
2.59801814,0.870424769,NEGATIVE,,
1.238011279,1.935570376,NEGATIVE,,
-0.135606765,0.332167092,NEGATIVE,,
0.357256675,0.079582004,NEGATIVE,,
0.849629323,-0.516638339,NEGATIVE,,
0.439312652,0.218154644,NEGATIVE,,
-0.296016146,-0.869369393,NEGATIVE,,
0.856920659,-0.43774151,NEGATIVE,,
-0.381539881,-0.193430218,NEGATIVE,,
-1.348481943,-7.15E-11,POSITIVE,,
0.704430035,-1.306436317,NEGATIVE,,
-1.064738707,-1.026110581,NEGATIVE,,
-1.093542766,1.213430079,POSITIVE,,
0.11843166,-7.15E-11,POSITIVE,,
1.651029583,0.145641774,NEGATIVE,,
0.747090675,3.057249749,NEGATIVE,,
1.087854298,0.22398548,NEGATIVE,,
0.057872849,-0.429098965,NEGATIVE,,
-1.099428731,0.469618121,POSITIVE,,
-0.922917219,0.434348857,NEGATIVE,,
-0.195496806,-7.15E-11,POSITIVE,,
0.218546779,-1.025496,POSITIVE,,
0.586242223,0.535578021,NEGATIVE,,
-0.036423583,-0.417898227,NEGATIVE,,
-1.099285255,-7.15E-11,POSITIVE,,
-0.775287555,-1.289550705,POSITIVE,,
-1.213568036,2.961136971,NEGATIVE,,
-1.079049984,-0.887645493,NEGATIVE,,
-0.952625349,-1.285794079,NEGATIVE,,
0.676037457,-0.643864278,NEGATIVE,,
-1.188577321,0.748660919,POSITIVE,,
-0.238769378,-1.223014635,NEGATIVE,,
-0.581310027,1.826167285,POSITIVE,,
